ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
197	CN	CHN	Extreme temperature							1								1			3					1		1	1			2			1	1	1			1						
198	CN	CHN	Flood	4	5	4	1	2	7	2	4	8	1	3	3	6	4	6	3	4	6	5	6	9	9	10	6	9	11	20	11	7	7	5	5	12	14	13	12	12	12	8	6	5	4	4
199	CN	CHN	Landslide			2		1	1		1	2	1		1		1	1	1	4	2	1	1	2	6	4	2	1		1	1	4	5	8	2	1	3	2	1	3	4		2	1		1
200	CN	CHN	Storm	1	1		5	2	3	7	6	4	7	11	5	8	11	5	6	8	5	5	9	10	10	6	5	7	14	8	6	9	10	6	5	8	15	16	17	13	9	12	4	4	7	1
201	CN	CHN	TOTAL	5	7	6	7	5	12	10	12	15	9	14	10	16	16	15	12	16	17	11	18	24	27	24	16	18	28	30	18	23	24	21	13	22	34	33	31	30	26	20	13	11	12	7
202	CN	CHN	Wildfire		1						1								1				1				1							1									1	1		
203	CO	COL	Drought																			1																	1							
204	CO	COL	Flood	1	1	1		1		1	1	1	1	4			1	3	1	2	1		3	3	2	4	3	2	3	1	4	2	1	3	2	3	1	4	1	2	4	2	5	3	10	9
205	CO	COL	Landslide		1	1				3	2				3		3		1	1		1	2		2	1	1					1	2	2	1				1		2		1	1	1	4
206	CO	COL	Storm				1			1		1											1		1				1									1			1			2		1
207	CO	COL	TOTAL	1	2	2	1	1		5	3	2	1	4	4		4	3	2	3	1	2	6	3	6	5	4	2	4	1	4	3	3	6	3	3	1	5	4	2	7	2	6	6	11	14
208	CO	COL	Wildfire												1										1									1					1							
209	KM	COM	Drought		1																																									
210	KM	COM	Flood																														1			1										
211	KM	COM	Storm				1		1		1		1														1											1					2			
212	KM	COM	TOTAL		1		1		1		1		1														1						1			1		1					2			
213	CD	COD	Drought				1																																							1
214	CD	COD	Flood											1				1			1		1		2	1	2			3	1	1	1	2	2	1		1	3	2	1	1	1	6		4
215	CD	COD	Landslide										1												1									1				1			1		2			
216	CD	COD	Storm																								2		1	1		1														
217	CD	COD	TOTAL				1						1	1				1			1		1		3	1	4		1	4	1	2	2	4	2	1		2	4	2	2	1	3	6		5
